STATE/UT,Year,Population No. in  thousand,AREA in (km2),Literate Population No. in thousand,Literacy Rate,Total Crime
Andhra Pradesh,2001,76542,"2,75,045",53579,70,49628
Andhra Pradesh,2002,77710,"2,75,045",54397,70,55390
Andhra Pradesh,2003,78616,"2,75,045",55031,70,66588
Andhra Pradesh,2004,79502,"2,75,045",55651,70,65660
Andhra Pradesh,2005,80369,"2,75,045",56258,70,65552
Andhra Pradesh,2006,81219,"2,75,045",56853,70,65342
Andhra Pradesh,2007,82049,"2,75,045",57434,70,65704
Andhra Pradesh,2008,82858,"2,75,045",58001,70.01,68854
Andhra Pradesh,2009,83649,"2,75,045",58554,70,66220
Andhra Pradesh,2010,84426,"2,75,045",59098,70,71280
Andhra Pradesh,2011,85188,"2,75,045",59632,70.01,74586
Andhra Pradesh,2012,85935,"2,75,045",60155,70.01,73432
Arunachal Pradesh,2001,1110,"83,743",777,70,1594
Arunachal Pradesh,2002,1121,"83,743",785,70.03,1524
Arunachal Pradesh,2003,1135,"83,743",795,70.05,1440
Arunachal Pradesh,2004,1149,"83,743",804,69.98,1356
Arunachal Pradesh,2005,1163,"83,743",814,70,1788
Arunachal Pradesh,2006,1178,"83,743",825,70.04,1620
Arunachal Pradesh,2007,1192,"83,743",834,69.97,1688
Arunachal Pradesh,2008,1206,"83,743",844,69.99,1566
Arunachal Pradesh,2009,1221,"83,743",855,70.03,1314
Arunachal Pradesh,2010,1235,"83,743",865,70.05,1480
Arunachal Pradesh,2011,1249,"83,743",874,69.98,1348
Arunachal Pradesh,2012,1264,"83,743",885,70.02,1404
Assam,2001,26873,"78,438",18811,70,18018
Assam,2002,27317,"78,438",19122,70.01,18278
Assam,2003,27719,"78,438",19403,70,18250
Assam,2004,28114,"78,438",19680,70.01,18550
Assam,2005,28506,"78,438",19954,70,18818
Assam,2006,28896,"78,438",20227,70,23188
Assam,2007,29282,"78,438",20497,70,22304
Assam,2008,29660,"78,438",20762,70,24078
Assam,2009,30037,"78,438",21026,70.01,23448
Assam,2010,30413,"78,438",21289,70,24456
Assam,2011,30791,"78,438",21554,70.01,25556
Assam,2012,31167,"78,438",21817,70.01,28784
Bihar,2001,84385,"94,163",59070,70.01,32856
Bihar,2002,85568,"94,163",59898,70.01,33820
Bihar,2003,87131,"94,163",60992,70.01,33588
Bihar,2004,88662,"94,163",62063,70,37186
Bihar,2005,90162,"94,163",63113,70,35030
Bihar,2006,91631,"94,163",64142,70.01,36906
Bihar,2007,93068,"94,163",65148,70.01,35054
Bihar,2008,94474,"94,163",66132,70.01,37796
Bihar,2009,95849,"94,163",67094,70,42120
Bihar,2010,97192,"94,163",68034,70,42326
Bihar,2011,98505,"94,163",68954,70.01,43716
Bihar,2012,99786,"94,163",69850,70,46462
Chhattisgarh,2001,20969,"1,35,191",14678,70,18762
Chhattisgarh,2002,21412,"1,35,191",14988,70,17006
Chhattisgarh,2003,21764,"1,35,191",15235,70.01,16524
Chhattisgarh,2004,22111,"1,35,191",15478,70.01,18406
Chhattisgarh,2005,22455,"1,35,191",15719,70.01,19652
Chhattisgarh,2006,22797,"1,35,191",15958,70.01,18736
Chhattisgarh,2007,23134,"1,35,191",16194,70.01,19110
Chhattisgarh,2008,23466,"1,35,191",16426,70,21630
Chhattisgarh,2009,23796,"1,35,191",16657,70,20910
Chhattisgarh,2010,24124,"1,35,191",16887,70.01,20380
Chhattisgarh,2011,24452,"1,35,191",17116,70,18802
Chhattisgarh,2012,24777,"1,35,191",17344,70.01,18302
Goa,2001,1360,"3,702",952,70,1934
Goa,2002,1357,"3,702",950,70.01,1802
Goa,2003,1389,"3,702",972,69.98,1494
Goa,2004,1429,"3,702",1000,69.98,1574
Goa,2005,1474,"3,702",1032,70.02,1580
Goa,2006,1517,"3,702",1062,70.01,1540
Goa,2007,1568,"3,702",1098,70.03,1630
Goa,2008,1629,"3,702",1140,69.99,1858
Goa,2009,1691,"3,702",1184,70.02,2372
Goa,2010,1749,"3,702",1224,69.99,2886
Goa,2011,1799,"3,702",1259,69.99,2922
Goa,2012,1847,"3,702",1293,70.01,2604
Gujarat,2001,51349,"1,96,024",35944,70,44588
Gujarat,2002,52079,"1,96,024",36455,70,45942
Gujarat,2003,52944,"1,96,024",37061,70.01,53506
Gujarat,2004,53798,"1,96,024",37659,70.01,51750
Gujarat,2005,54642,"1,96,024",38249,70,49088
Gujarat,2006,55475,"1,96,024",38833,70.01,50530
Gujarat,2007,56298,"1,96,024",39409,70.01,48748
Gujarat,2008,57109,"1,96,024",39976,70,54692
